product	[ˈprɔdʌkt]	n. 产品，制品
dine	[daɪn]	v. 吃饭；（指正式）进餐
pop = popular	[pɔp]	a. (口语) （音乐、艺术等）大众的，通俗的
entry	[ˈentrɪ]	n. 进入
departure	[dɪˈpɑːtʃə(r)]	n. 离开，启程
teamwork	[ˈtiːmwɜːk]	n. 合作，协同工作
wrist	[rɪst]	n. 手腕，腕关节
peach	[piːtʃ]	n. 桃子
America	[əˈmerɪkə]	* n. 美国；美洲
expand	[ɪkˈspænd]	v.扩大，增加，扩展
grape	[ɡreɪp]	n. 葡萄
each	[iːtʃ]	a.& pron.每人.每个.每件
learned	[ˈlɜːnɪd]	a. 有才华的；博学的
gather	[ˈɡæðə(r)]	v. 聚集；采集
block	[blɔk]	n. 大块；（木、石等）块；街区；路障vt. 阻塞；阻挡
adequate	[ˈædɪkwət]	a. 合适的，合乎需要的
land	[lænd]	n.陆地,土地v.登岸(陆)降落
sheep (复sheep)	[ʃiːp]	n. （绵）羊；羊皮；驯服者
windy	[ˈwɪndɪ]	a. 有风的，多风的
theirs	[ðeəz]	pron. 他（她,它）们的
pollution	[pəˈluːʃ(ə)n]	n. 污染
thank	[θæŋk]	vt. 感谢，致谢，道谢n.（复）感谢，谢意
drawback	[ˈdrɔːbæk]	n.缺点，不利条件
meaning	[ˈmiːnɪŋ]	n. 意思，含意
whole	[həʊl]	a. 整个的
necklace	[ˈneklɪs]	n. 项链
course	[kɔːs]	n. 过程；经过；课程
hire	[ˈhaɪə(r)]	vt. 租用
design	[dɪˈzaɪn]	n.& vt. n. 设计，策划图案，图样，样式
vocabulary	[vəˈkæbjʊlərɪ]	n. 词汇, 词汇表
helicopter	[ˈhelɪkɔptə(r)]	n. 直升飞机
fade	[feɪd]	vi. 褪色，（颜色）消退
time	[taɪm]	n. 时间;时期;钟点,次,回vt.测定…的时间,记录…的时间
weakness	[ˈwiːknɪs]	n. 软弱
anywa	[ˈenɪweɪ]	y ad. 不管怎样
harbour (美harbor)	['hɑ:bə]	n. 港口
phrase	[freɪz]	n. 短语；习惯用语
stubborn	[ˈstʌbən]	a. 固执的，倔强的
arrival	[əˈraɪv(ə)l]	n. 到来，到达
down	[daʊn]	prep. 沿着，沿…而下ad. 向下
